real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Dennis Cardoza,RepCardoza,D,House,31-Mar-59,M,California,White,2003,2012,9,White
William L Clay Jr,LacyClayMO1,D,House,27-Jul-56,M,Missouri,Black,2001,2020,19,Non-White
Ileana Ros-Lehtinen,RosLehtinen,R,House,15-Jul-52,F,Florida,Hispanic,1989,2019,30,Non-White
Rob Portman,senrobportman,R,Senate,19-Dec-55,M,Ohio,White,2011,2020,9,White
Mike Thompson,RepThompson,D,House,24-Jan-51,M,California,White,1999,2020,21,White
Donna Edwards,repdonnaedwards,D,House,28-Jun-58,F,Maryland,Black,2008,2017,9,Non-White
Ed Markey,SenMarkey,D,Senate,11-Jul-46,M,Massachusetts,White,2013,2020,7,White
Steny H Hoyer,WhipHoyer,D,House,14-Jun-39,M,Maryland,White,1981,2020,39,White
Orrin G. Hatch,senorrinhatch,R,Senate,22-Mar-34,M,Utah,White,1977,2019,42,White
Jeff Merkley,SenJeffMerkley,D,Senate,24-Oct-56,M,Oregon,White,2009,2020,11,White
James P. McGovern,RepMcGovern,D,House,20-Nov-59,M,Massachusetts,White,1997,2020,23,White
Don Norcross,DonaldNorcross,D,House,13-Dec-58,M,New Jersey,White,2014,2020,6,White
Mike Quigley,RepMikeQuigley,D,House,17-Oct-58,M,Illinois,White,2009,2020,11,White
Allen West,AllenWest,R,House,7-Feb-61,M,Florida,Black,2011,2013,2,Non-White
Frederica Wilson,RepWilson,D,House,5-Nov-42,F,Florida,Black,2011,2020,9,Non-White
Carolyn B. Maloney,RepMaloney,D,House,19-Feb-46,F,New York,White,1993,2020,27,White
Glenn Thompson,CongressmanGT,R,House,27-Jul-59,M,Pennsylvania,White,2009,2020,11,White
Yvette D. Clarke,RepYvetteClarke,D,House,21-Nov-64,F,New York,Black,2007,2020,13,Non-White
Adam Kinzinger,RepKinzinger,R,House,27-Feb-78,M,Illinois,White,2011,2020,9,White
Nanette Barragan,RepBarragan,D,House,15-Sep-76,F,California,Hispanic,2017,2020,3,Non-White
Will Hurd,HurdOnTheHill,R,House,19-Aug-77,M,Texas,Black,2015,2020,5,Non-White
Mark Udall,MarkUdall,D,Senate,18-Jul-50,M,Colorado,White,1999,2015,16,White
Bradley Byrne,RepByrne,R,House,16-Feb-55,M,Alabama,White,2014,2020,6,White
Charles B. Rangel,cbrangel,D,House,11-Jun-30,M,New York,Black,1971,2017,36,Non-White
Frank Pallone Jr,FrankPallone,D,House,30-Oct-51,M,New Jersey,White,1988,2020,32,White
Dina Titus,repdinatitus,D,House,23-May-50,F,Nevada,White,2009,2020,9,White
Joyce Beatty,RepBeatty,D,House,12-Mar-50,F,Ohio,Black,2013,2020,7,Non-White
Joseph Crowley,repjoecrowley,D,House,16-Mar-62,M,New York,White,1999,2019,20,White
Patrick Leahy,SenatorLeahy,D,Senate,31-Mar-40,M,Vermont,White,1975,2020,45,White
Tammy Baldwin,SenatorBaldwin,D,Senate,11-Feb-62,F,Wisconsin,White,1999,2020,21,White
Geoff Davis,RepGeoffDavis,R,House,26-Oct-58,M,Kentucky,White,2005,2012,7,White
Eric Swalwell,RepSwalwell,D,House,16-Nov-80,M,California,White,2013,2020,7,White
Charles E. Schumer,SenSchumer,D,Senate,23-Nov-50,M,New York,White,1981,2020,39,White
David Young,RepDavidYoung,R,House,11-May-68,M,Iowa,Black,2015,2019,4,Non-White
Nydia M Velazquez,NydiaVelazquez,D,House,28-Mar-53,F,New York,Hispanic,1993,2020,27,Non-White
Ben Cardin,SenatorCardin,D,Senate,5-Oct-43,M,Maryland,White,1987,2020,33,White
Nancy Pelosi,NancyPelosi,D,House,26-Mar-40,F,California,White,1987,2020,33,White
Paul Tonko,RepPaulTonko,D,House,18-Jun-49,M,New York,White,2009,2020,11,White
Mark Kirk,SenatorKirk,R,Senate,15-Sep-59,M,Illinois,White,2001,2017,16,White
Barbara Lee,RepBarbaraLee,D,House,16-Jul-46,F,California,Black,1998,2020,22,Non-White
Alma Adams,RepAdams,D,House,27-May-46,F,North Carolina,Black,2014,2020,6,Non-White
Renee Ellmers,RepReneeEllmers,R,House,9-Feb-64,F,North Carolina,White,2011,2017,6,White
Susan Brooks,SusanWBrooks,R,House,25-Aug-60,F,Indiana,White,2013,2020,,White
Lois J. Frankel,RepLoisFrankel,D,House,16-May-48,F,Florida,White,2013,2020,7,White
John McCain,SenJohnMcCain,R,Senate,29-Aug-36,M,Arizona,White,1987,2018,31,White
Brenda Lawrence,RepLawrence,D,House,18-Oct-54,F,Michigan,Black,2015,2020,5,Non-White
Ted Lieu,RepTedLieu,D,House,29-Mar-69,M,California,Asian,2015,2020,5,Non-White
Bruce Westerman,RepWesterman,R,House,18-Nov-67,M,Arkansas,White,2015,2020,5,White
Neil Abercrombie,neilabercrombie,D,House,26-Jun-38,M,Hawaii,White,1991,2010,19,White
Ted Cruz,SenTedCruz,R,Senate,22-Dec-70,M,Texas,Hispanic,2013,2020,7,Non-White
Paul Ryan,SpeakerRyan,R,House,29-Jan-70,M,Wisconsin,White,1999,2019,20,White
Billy Long,USRepLong,R,House,11-Aug-55,M,Missouri,White,2011,2020,9,White
Bonnie Coleman,RepBonnie,D,House,6-Feb-45,F,New Jersey,Black,2015,2020,5,Non-White
Kathy Castor,USRepKCastor,D,House,20-Aug-66,F,Florida,White,2007,2020,13,White
Richard Blumenthal,SenBlumenthal,D,Senate,13-Feb-46,M,Connecticut,White,2011,2020,9,White
Michelle Lujan Grisham,RepLujanGrisham,D,House,24-Oct-59,F,New Mexico,White,2013,2019,6,White
Seth Moulton,teammoulton,D,House,24-Oct-78,M,Massachusetts,White,2015,2020,5,White
Kirsten Gillibrand,SenGillibrand,D,Senate,9-Dec-66,F,New York,White,2007,2020,13,White
Mitch McConnell,senatemajldr,R,Senate,20-Feb-42,M,Kentucky,White,1985,2020,35,White
Scott Peters,RepScottPeters,D,House,17-Jun-58,M,California,White,2013,2020,7,White
John Boehner,SpeakerBoehner,R,House,17-Nov-49,M,Ohio,White,1991,2015,24,White
Marco Rubio,marcorubio,R,House,28-May-71,M,Florida,Hispanic,2011,2020,9,Non-White
Marcia L Fudge,RepMarciaFudge,D,House,29-Oct-52,F,Ohio,Black,2008,2020,12,Non-White
Jim Langevin,JimLangevin,D,House,22-Apr-64,M,Rhode Island,White,2001,2020,19,White
Don Bacon,RepDonBacon,R,House,16-Aug-63,M,Nebraska,White,2017,2020,3,White
Tom Udall,SenatorTomUdall,D,Senate,18-May-48,M,New Mexico,White,2009,2020,11,White
Grace Meng,RepGraceMeng,D,House,1-Oct-75,F,New York,Asian,2013,2020,7,Non-White
Jon Tester,SenatorTester,D,Senate,21-Aug-56,M,Montana,White,2007,2020,13,White
Mario Diaz-Balart,MarioDB,R,House,25-Sep-61,M,Florida,White,2003,2020,17,White
Robert Menendez,SenatorMenendez,D,Senate,1-Jan-54,M,New Jersey,Hispanic,1993,2020,27,Non-White
Gregory W Meeks,RepGregoryMeeks,D,House,25-Sep-53,M,New York,Black,1998,2020,22,Non-White
Jan Schakowsky,janschakowsky,D,House,26-May-44,F,Illinois,White,1999,2020,21,White
Dean Heller,SenDeanHeller,R,Senate,10-May-60,M,Nevada,White,2007,2019,12,White
Joaquin Castro,JoaquinCastrotx,D,House,16-Sep-74,M,Texas,Hispanic,2013,2020,7,Non-White
Tim Huelskamp,CongHuelskamp,R,House,11-Nov-68,M,Kansas,White,2011,2017,6,White
Ron Wyden,RonWyden,D,Senate,3-May-49,M,Oregon,White,1981,2020,39,White
Lee Terry,LEETERRYNE,R,House,29-Jan-62,M,Nebraska,White,1999,2015,16,White
Dick Durbin,SenatorDurbin,D,House,21-Nov-44,M,Illinois,White,1983,2020,37,White
Charlie Crist,RepCharlieCrist,D,House,24-Jul-56,M,Florida,White,2017,2020,3,White
Pete Olson,RepPeteOlson,R,House,9-Dec-62,M,Texas,White,2009,2020,11,White
Katherine Clark,RepKClark,D,House,17-Jul-63,F,Massachusetts,White,2013,2020,7,White
Dianne Feinstein,SenFeinstein,D,Senate,22-Jun-33,F,California,White,1992,2020,28,White
Dan Kildee,RepDanKildee,D,House,11-Aug-58,M,Michigan,White,2013,2020,7,White
Elijah E. Cummings,RepCummings,D,House,18-Jan-51,M,Maryland,Black,1996,2019,23,Non-White
Cathy McMorris Rodgers,cathymcmorris,R,House,22-May-69,F,Washington,White,2005,2020,15,White
Deb Fischer,SenatorFischer,R,Senate,1-Mar-51,F,Nebraska,White,2013,2020,7,White
Shelley Moore Capito,SenCapito,R,Senate,26-Nov-53,F,West Virginia,White,2001,2020,19,White
Bob Goodlatte,RepGoodlatte,R,House,22-Sep-52,M,Virginia,White,1993,2019,26,White
Suzan DelBene,RepDelBene,D,House,17-Feb-63,F,Washington,White,2012,2020,8,White
Bruce Braley,BruceBraley,D,House,30-Oct-57,M,Iowa,White,2007,2015,8,White
Sam Graves,RepSamGraves,R,House,7-Nov-63,M,Missouri,White,2001,2020,19,White
Diane Black,RepDianeBlack,R,House,16-Jan-51,M,Tennessee,White,2011,2019,8,White
Roy Blunt,RoyBlunt,R,Senate,10-Jan-50,M,Missouri,White,1997,2020,23,White
Gwen Moore,RepGwenMoore,D,House,18-Apr-51,M,Wisconsin,Black,2005,2020,15,Non-White
Ruben Gallego,RepRubenGallego,D,House,20-Nov-79,M,Arizona,White,2011,2020,9,White
Richard Hudson,RepRichHudson,R,House,4-Nov-71,M,North Carolina,White,2013,2020,7,White
Lucille Roybal-Allard,RepRoybalAllard,D,House,12-Jun-41,F,California,White,1993,2020,27,White
Steve Womack,rep_stevewomack,R,House,18-Feb-57,M,Arkansas,White,2011,2020,9,White
Ted Deutch,RepTedDeutch,D,House,7-May-66,M,Florida,White,2010,2020,10,White
Patty Murray,PattyMurray,D,Senate,11-Oct-54,F,Washington,White,1993,2020,27,White
John Cornyn,JohnCornyn,R,Senate,2-Feb-52,M,Texas,White,2002,2020,18,White
Diana DeGette,RepDianaDeGette,D,House,29-Jul-57,F,Colorado,White,1997,2020,23,White
Jack Reed,SenJackReed,D,Senate,12-Nov-49,M,Rhode Island,White,1991,2020,29,White
Tim Scott,SenatorTimScott,R,Senate,19-Sep-65,M,South Carolina,Black,2011,2020,9,Non-White
Heidi Heitkamp,SenatorHeitkamp,D,Senate,30-Oct-55,F,North Dakota,White,2013,2020,7,White
Fred Upton,RepFredUpton,R,House,23-Apr-53,M,Michigan,White,1987,2020,33,White
Jerrold Nadler,RepJerryNadler,D,House,13-Jun-47,M,New York,White,1992,2020,28,White
Claire McCaskill,McCaskillOffice,D,Senate,24-Jul-53,F,Missouri,White,2007,2019,12,White
G. K. Butterfield,GKButterfield,D,House,27-Apr-47,M,North Carolina,White,2004,2020,16,White
Brian M Higgins,RepBrianHiggins,D,House,6-Oct-59,M,New York,White,2005,2020,15,White
Emanuel Cleaver,repcleaver,D,House,26-Oct-44,M,Missouri,Black,2005,2020,15,Non-White
Pat Roberts,SenPatRoberts,R,Senate,20-Apr-36,M,Kansas,White,1997,2020,23,White
Donald M Payne Jr.,RepDonaldPayne,D,House,17-Dec-58,M,New Jersey,Black,2012,2020,8,Non-White
Louis B. Gohmert Jr,replouiegohmert,R,House,18-Aug-53,M,Texas,White,2005,2020,15,White
Norma Torres,NormaJTorres,D,House,4-Apr-65,F,California,Hispanic,2015,2020,5,Non-White
Kyrsten Sinema,SenatorSinema,D,House,12-Jul-76,M,Arizona,White,2013,2020,7,White
Carlos Curbelo,RepCurbelo,R,House,1-Mar-80,M,Florida,White,2015,2019,4,White
Tom Carper,SenatorCarper,D,Senate,23-Jan-47,M,Delaware,White,2001,2020,19,White
James Lankford,SenatorLankford,R,Senate,4-Mar-68,M,Texas,White,2011,2020,9,White
Thom Tillis,SenThomTillis,R,Senate,30-Aug-60,M,North Carolina,White,2015,2020,5,White
Richard Hanna,RepRichardHanna,R,House,25-Jan-51,M,New York,White,2011,2017,6,White
Tony Cardenas,RepCardenas,D,House,31-Mar-63,M,California,Hispanic,2013,2020,7,Non-White
Sheldon Whitehouse,SenWhitehouse,D,Senate,20-Oct-55,M,Rhode Island,White,2007,2020,13,White
David Perdue,sendavidperdue,R,Senate,10-Dec-49,M,Georgia,White,2015,2020,5,White
Vicky Hartzler,RepHartzler,R,House,13-Oct-60,F,Missouri,White,2011,2020,9,White
Alan Lowenthal,RepLowenthal,D,House,8-Mar-41,M,California,White,2013,2020,7,White
Bob Casey,SenBobCasey,D,Senate,13-Apr-60,M,Pennsylvania,White,2007,2020,13,White
Roger Wicker,SenatorWicker,R,Senate,5-Jul-51,M,Mississippi,White,1995,2020,25,White
John Garamendi,RepGaramendi,D,House,24-Jan-45,M,California,White,2009,2020,11,White
Bobby Scott,BobbyScott,D,House,30-Apr-47,M,Virginia,Black,1993,2020,27,Non-White
Betty McCollum,BettyMcCollum04,D,House,12-Jul-54,F,Minnesota,White,2001,2020,19,White
Marc Veasey,RepVeasey,D,House,3-Jan-71,M,Texas,Black,2013,2020,7,Non-White
Jackie Speier,RepSpeier,D,House,14-May-50,F,California,White,2008,2020,12,White
Rosa L. DeLauro,rosadelauro,D,House,2-Mar-43,F,Connecticut,White,1991,2020,29,White
Keith Ellison,keithellison,D,House,4-Aug-63,M,Minnesota,Black,2007,2019,12,Non-White
Eddie Bernice Johnson,RepEBJ,D,House,3-Dec-35,M,Texas,Black,1993,2020,27,Non-White
Raul M. Grijalva,RepRaulGrijalva,D,House,19-Feb-48,M,Arizona,Hispanic,2003,2020,17,Non-White
Timothy J. Walz,RepTimWalz,D,House,6-Apr-64,M,Minnesota,White,2007,2019,12,White
Rick Larsen,RepRickLarsen,D,House,15-Jun-65,M,Washington,White,2001,2020,19,White
Al Franken,SenFranken,D,Senate,21-May-51,M,Minnesota,White,2009,2018,9,White
Mike Crapo,MikeCrapo,R,Senate,20-May-51,M,Idaho,White,1993,2020,27,White
Ed Perlmutter,RepPerlmutter,D,House,1-May-53,M,Colorado,White,2007,2020,13,White
David Cicilline,RepCicilline,D,House,15-Jul-61,M,Rhode Island,White,2011,2020,9,White
Sheila Jackson Lee,JacksonLeeTX18,D,House,12-Jan-50,F,Texas,Black,1995,2020,25,Non-White
Elizabeth Esty,RepEsty,D,House,25-Aug-59,F,Connecticut,White,2013,2019,6,White
Kevin McCarthy,GOPLeader,R,House,26-Jan-65,M,California,White,2007,2020,13,White
Mia Love,RepMiaLove,R,House,6-Dec-75,F,Utah,Black,2015,2019,4,Non-White
Mark Pocan,repmarkpocan,D,House,14-Aug-64,M,Wisconsin,White,2015,2020,7,White
Mike Kelly,MikeKellyPA,R,House,10-May-48,M,Pennsylvania,White,2011,2020,9,White
Frank R Lautenberg,FrankLautenberg,D,Senate,23-Jan-24,M,New Jersey,White,2003,2013,10,White
Robin Kelly,RepRobinKelly,D,House,30-Apr-56,F,Illinois,Black,2013,2020,,Non-White
Terri A Sewell,RepTerriSewell,D,House,1-Jan-65,F,Alabama,Black,2011,2020,9,Non-White
Elise Stefanik,RepStefanik,R,House,2-Jul-84,F,New York,White,2015,2020,5,White
John Kline,repjohnkline,R,House,6-Sep-47,M,Minnesota,White,2003,2017,14,White
Bob Dold,RepDold,R,House,23-Jun-69,M,Illinois,White,2011,2017,6,White
Kevin Brady,RepKevinBrady,R,House,11-Apr-55,M,Texas,White,1997,2020,23,White
Ed Royce,RepEdRoyce,R,House,12-Oct-51,M,California,White,1993,2019,26,White
Patrick Meehan,RepMeehan,R,House,20-Oct-55,M,Pennsylvania,White,2011,2018,7,White
Mark Walker,RepMarkWalker,R,House,20-May-69,M,North Carolina,White,2015,2020,5,White
Todd Akin,ToddAkin,R,House,5-Jul-47,M,Missouri,White,2001,2013,12,White
Steve Scalise,SteveScalise,R,House,6-Oct-65,M,Louisiana,White,2008,2020,12,White
Christopher S. Murphy,ChrisMurphyCT,D,Senate,3-Aug-73,M,Connecticut,White,2007,2020,13,White
Joe Kennedy III,RepJoeKennedy,D,House,4-Oct-80,M,Massachusetts,White,2013,2020,7,White
Debbie Wasserman Schultz,RepDWStweets,D,House,27-Sep-66,F,Florida,White,2005,2020,15,White
Bill Flores,RepBillFlores,R,House,25-Feb-54,M,Texas,White,2011,2020,9,White
Henry A. Waxman,WaxmanClimate,D,House,12-Sep-39,M,California,White,1975,2015,40,White
Chaka Fattah,chakafattah,D,House,21-Nov-56,M,Pennsylvania,Black,1995,2016,21,Non-White
Joe Manchin,Sen_JoeManchin,D,Senate,24-Aug-47,M,West Virginia,White,2010,2020,10,White
Michael G. Fitzpatrick,RepFitzpatrick,R,House,28-Jun-63,M,Pennsylvania,White,2005,2017,8,White
Doug Collins,RepDougCollins,R,House,16-Aug-66,M,Georgia,White,2013,2020,7,White
Keith J Rothfus,KeithRothfus,R,House,25-Apr-62,M,Pennsylvania,White,2013,2019,6,White
Joe Donnelly,SenDonnelly,D,Senate,29-Sep-55,M,Indiana,White,2007,2019,12,White
Tulsi Gabbard,TulsiPress,D,House,12-Apr-81,F,Hawaii,Mixed,2013,2020,7,Non-White
Rick Crawford,RepRickCrawford,R,House,22-Jan-66,M,Arkansas,White,2011,2020,9,White
Hank Johnson,RepHankJohnson,D,House,2-Oct-54,M,Georgia,Black,2007,2020,13,Non-White
Kathleen Rice,RepKathleenRice,D,House,15-Feb-65,F,New York,White,2015,2020,5,White
Barack Obama,BarackObama,D,Senate,4-Aug-61,M,Illinois,Black,2005,2008,3,Non-White
Gary Peters,SenGaryPeters,D,Senate,1-Dec-58,M,Michigan,White,2009,2020,11,White
Peter Roskam,PeterRoskam,R,House,13-Sep-61,M,Illinois,White,2007,2019,12,White
Lamar Alexander,SenAlexander,R,Senate,3-Jul-40,M,Tennessee,White,2003,2020,17,White
Steve Fincher,RepFincherTN08,R,House,7-Feb-73,M,Tennessee,White,2011,2017,6,White
Frank Guinta,RepFrankGuinta,R,House,26-Sep-70,M,New Hampshire,White,2011,2017,6,White
Cory Booker,SenBooker,D,Senate,27-Apr-69,M,New Jersey,Black,2013,2020,7,Non-White
Steve Israel,RepSteveIsrael,D,House,30-May-58,M,New York,White,2001,2017,16,White
Steven Daines,SteveDaines,R,Senate,20-Aug-62,M,Montana,White,2013,2020,7,White
David McKinley,RepMcKinley,R,House,28-Mar-47,M,West Virginia,White,2011,2020,9,White
Johnny Isakson,SenatorIsakson,R,Senate,28-Dec-44,M,Georgia,White,1999,2019,20,White
Erik Paulsen,RepErikPaulsen,R,House,14-May-65,M,Minnesota,White,2009,2019,10,White
Henry Cuellar,RepCuellar,D,House,19-Sep-55,M,Texas,Hispanic,2005,2020,15,Non-White
Daniel Lipinski,RepLipinski,D,House,15-Jul-66,M,Illinois,White,2005,2020,15,White
Joe Barton,RepJoeBarton,R,House,15-Sep-49,M,Texas,White,1985,2019,34,White
Chris Collins,RepChrisCollins,R,House,20-May-50,M,New York,White,2013,2019,6,White
Mike Bishop,RepMikeBishop,R,House,18-Mar-67,M,Michigan,White,2015,2019,4,White
Stephen F. Lynch,RepStephenLynch,D,House,31-Mar-55,M,Massachusetts,White,2001,2020,19,White
Scott Rigell,RepScottRigell,R,House,28-May-60,M,Virginia,White,2011,2017,6,White
Cheri Bustos,RepCheri,D,House,17-Oct-61,F,Illinois,White,2013,2020,7,White
Dennis Heck,RepDennyHeck,D,House,29-Jul-52,M,Washington,White,2013,2020,7,White
Brendan Boyle,RepBrendanBoyle,D,House,6-Feb-77,M,Pennsylvania,White,2015,2020,5,White
Brian Babin,RepBrianBabin,R,House,23-Mar-48,M,Texas,White,2015,2020,5,White
Jack Kingston,JackKingston,R,House,24-Apr-55,M,Georgia,White,1993,2015,22,White
Mark Warner,MarkWarner,D,Senate,15-Dec-54,M,Virginia,White,2009,2020,11,White
Robert E Latta,boblatta,R,House,18-Apr-56,M,Ohio,White,2007,2020,13,White
Mimi Walters,RepMimiWalters,R,House,14-May-62,F,California,White,2015,2019,4,White
Marcy Kaptur,RepMarcyKaptur,D,House,17-Jun-46,F,Ohio,White,1983,2020,37,White
Mike Honda,RepMikeHonda,D,House,27-Jun-41,M,California,Asian,2001,2017,16,Non-White
Salud Carbajal,RepCarbajal,D,House,18-Nov-64,M,California,Hispanic,2017,2020,3,Non-White
Frank A. LoBiondo,RepLoBiondo,R,House,12-May-46,M,New Jersey,White,1995,2019,24,White
Patrick McHenry,PatrickMcHenry,R,House,22-Oct-75,M,North Carolina,White,2005,2020,15,White
Mazie K. Hirono,maziehirono,D,Senate,3-Nov-47,F,Hawaii,Asian,2007,2020,13,Non-White
Rodney Davis,RodneyDavis,R,House,5-Jan-70,M,Illinois,White,2013,2020,7,White
John Hoeven,SenJohnHoeven,R,Senate,13-Mar-57,M,North Dakota,White,2011,2020,9,White
Tim Ryan,RepTimRyan,D,House,16-Jul-73,M,Ohio,White,2003,2020,17,White
Adrian Smith,RepAdrianSmith,R,House,19-Dec-70,M,Nebraska,White,2007,2020,13,White
Mark Desaulnier,RepDeSaulnier,D,House,31-Mar-52,M,California,White,2015,2020,5,White
Bob Corker,SenBobCorker,R,Senate,24-Aug-52,M,Tennessee,White,2007,2019,12,White
Jim Banks,RepJimBanks,R,House,16-Jul-79,M,Indiana,White,2017,2020,3,White
Tom Graves,RepTomGraves,R,House,3-Feb-70,M,Georgia,White,2010,2020,10,White
Scott Desjarlais,DesJarlaisTN04,R,House,21-Feb-64,M,Tennessee,White,2011,2020,9,White
Ron DeSantis,GovRonDeSantis,R,House,14-Sep-74,M,Florida,White,2013,2018,5,White
John Conyers Jr,RepJohnConyers,D,House,16-May-29,M,Michigan,Black,1965,2017,52,Non-White
Gus Bilirakis,RepGusBilirakis,R,House,8-Feb-63,M,Florida,White,2007,2020,13,White
Dan Sullivan,SenDanSullivan,R,Senate,13-Nov-64,M,Alaska,White,2015,2020,5,White
Ryan K Zinke,RepRyanZinke,R,House,1-Nov-61,M,Montana,White,2015,2017,2,White
Louise M Slaughter,louiseslaughter,D,House,14-Aug-29,F,New York,White,1987,2018,31,White
Jason Smith,RepJasonSmith,R,House,16-Jun-80,M,Missouri,White,2013,2020,7,White
Bruce Poliquin,RepPoliquin,R,House,1-Nov-53,M,Maine,White,2015,2019,4,White
Bill Cassidy,BillCassidy,R,Senate,28-Sep-57,M,Louisiana,White,2009,2020,11,White
Jackie Walorski,RepWalorski,R,House,17-Aug-63,F,Indiana,White,2013,2020,7,White
Angus King,SenAngusKing,I,Senate,31-Mar-44,M,Maine,White,2013,2020,7,White
Tom Price,RepTomPrice,R,House,8-Oct-54,M,Georgia,White,2005,2017,12,White
Sean Patrick Maloney,RepSeanMaloney,D,House,30-Jul-66,M,New York,White,2013,2020,7,White
Steve Stivers,RepSteveStivers,R,House,24-Mar-65,M,Ohio,White,2011,2020,9,White
Kristi Noem,RepKristiNoem,R,House,30-Nov-71,F,South Dakota,White,2011,2019,8,White
Steve Pearce,RepStevePearce,R,House,24-Aug-47,M,New Mexico,White,2003,2019,16,White
Tammy Duckworth,SenDuckworth,D,Senate,12-Mar-68,F,Illinois,Asian,2013,2020,7,Non-White
Karen Bass,RepKarenBass,D,House,3-Oct-53,F,California,Black,2011,2020,9,Non-White
Chris Stewart,RepChrisStewart,R,House,15-Jul-60,M,Utah,White,2013,2020,7,White
Mike Lee,SenMikeLee,R,Senate,4-Jun-71,M,Utah,White,2011,2020,9,White
Steve Chabot,RepSteveChabot,R,House,22-Jan-53,M,Ohio,White,2011,2020,9,White
Lou Correa,RepLouCorrea,D,House,24-Aug-58,M,California,Hispanic,2017,2020,3,Non-White
Larry Bucshon,RepLarryBucshon,R,House,31-May-62,M,Indiana,White,2011,2020,9,White
Douglas L. Lamborn,RepDLamborn,R,House,24-May-54,M,Colorado,White,2007,2020,13,White
